job_title, company_name, job_adress, job_type, exp_years, exp_level 
Data Analyst,Rotem SRS -,Cairo_Egypt,Full TimeOn-site,· 2 - 3 Yrs of Exp,Experienced
Compliance Analyst,Teleperformance - Egypt -,Cairo_Egypt,Full TimeRemote,· 3+ Yrs of Exp,Experienced
Data Analyst,Al Watania Poultry -,Smart Village_Giza_Egypt,Full TimeOn-site,· 2 - 4 Yrs of Exp,Experienced
Data Analyst,EGEC -,Haram_Giza_Egypt,Full TimeOn-site,· 2 - 5 Yrs of Exp,Experienced
Quality Monitoring Analyst (Call Center),Xceed Contact Center -,Maadi_Cairo_Egypt,Full TimeOn-site,· 1 - 5 Yrs of Exp,Experienced
Workforce Manager Real Time Analyst - Spanish and English speaker,Teleperformance - Egypt -,Katameya_Cairo_Egypt,Full TimeOn-site,· 1+ Yrs of Exp,Experienced
Senior Financial Planning Analyst,Sky Holding -,Cairo_Egypt,Full TimeOn-site,· 3 - 4 Yrs of Exp,Experienced
Market Research Analyst,Confidential -,Cairo_Egypt,Full TimeOn-site,· 2 - 4 Yrs of Exp,Experienced
Financial Analyst,B.TECH -,Nasr City_Cairo_Egypt,Full TimeOn-site,· 1 - 4 Yrs of Exp,Entry Level
Quality Assurance Analyst - English Speaker,Teleperformance - Egypt -,New Cairo_Cairo_Egypt,Full TimeRemote,· 1 - 5 Yrs of Exp,Experienced
Data Analyst,Sisco Jobs -,Dubai_United Arab Emirates,Full Time, Analysis,Entry Level
HR Analyst,Fawry MSME Finance  -,Giza_Egypt,Full TimeOn-site,· 1 - 3 Yrs of Exp,Experienced
Data Analyst,Noon - The Social Learning Platform -,Riyadh_Saudi Arabia,Full Time, Analysis,Entry Level
Data Analyst (0 Experience Required),Peroptyx -,Riyadh_Saudi Arabia,Freelance / Project, Analysis,Entry Level
Data Analyst - Intern (Remote Internship - Data Analysis),Kreativstorm -,Riyadh_Saudi Arabia,Full Time, Analysis,Student
Data Analyst - Abu Dhabi,HDR -,Dubai_United Arab Emirates,Full Time, Analysis,Experienced
Urgent Hiring for Data Analyst,PRIME IMMIGRATION LTD -,Dubai_United Arab Emirates,Full Time,not specified,Entry Level
QA Analyst - Spanish Speakers,Teleperformance - Egypt -,New Cairo_Cairo_Egypt,Full TimeRemote,· 1 - 4 Yrs of Exp,Experienced
Remote Data Integrity Analyst,Intoude Foundation Too -,Kuwait City_Kuwait,Full Time,not specified,Experienced
Senior Data Science Analyst,Qatar Airways -,Doha_Qatar,Full Time, Analysis,Entry Level
Data Analyst/Market Researcher,Intoude Foundation Too -,Dubai_United Arab Emirates,Full Time, Analysis,Entry Level
QA Analyst - French Speakers,Teleperformance - Egypt -,New Cairo_Cairo_Egypt,Full TimeRemote,· 1 - 4 Yrs of Exp,Experienced
System Analyst/Technical Writer,Tamweely -,Cairo_Egypt,Full TimeOn-site,· 3 - 5 Yrs of Exp,Experienced
Data Analyst/Market Researcher,Intoude Foundation -,Kuwait City_Kuwait,Full Time, Analysis,Entry Level
Senior ERP Business Analyst,BI-Technologies -,New Cairo_Cairo_Egypt,Full TimeHybrid,· 5+ Yrs of Exp,Experienced
Data Analyst,InvestSky | Social Investing -,Dubai_United Arab Emirates,Full Time, Analysis,Entry Level
Automation and Data Analyst Architect,VAme Ltd -,Dubai_United Arab Emirates,Full Time,not specified,Entry Level
Senior Financial Analyst,Etqan -,New Cairo_Cairo_Egypt,Full TimeOn-site,· 3 - 7 Yrs of Exp,Experienced
